module	parameter	group	source	flags	detail
abusefiltercheckmatch	-	action	Abuse Filter		
abusefiltercheckmatch	filter	action	Abuse Filter	required	type=string
abusefiltercheckmatch	logid	action	Abuse Filter		type=integer
abusefiltercheckmatch	rcid	action	Abuse Filter		type=integer
abusefiltercheckmatch	vars	action	Abuse Filter		type=string
abusefilterchecksyntax	-	action	Abuse Filter		
abusefilterchecksyntax	filter	action	Abuse Filter	required	type=string
abusefilterevalexpression	-	action	Abuse Filter		
abusefilterevalexpression	expression	action	Abuse Filter	required	type=string
abusefilterevalexpression	prettyprint	action	Abuse Filter		type=boolean
abusefilterunblockautopromote	-	action	Abuse Filter		write post
abusefilterunblockautopromote	token	action	Abuse Filter	required,sensitive	type=string
abusefilterunblockautopromote	user	action	Abuse Filter	required	type=user
abuselogprivatedetails	-	action	Abuse Filter		write post
abuselogprivatedetails	logid	action	Abuse Filter		type=integer
abuselogprivatedetails	reason	action	Abuse Filter		type=string
abuselogprivatedetails	token	action	Abuse Filter	required,sensitive	type=string
acquiretempusername	-	action	MediaWiki		write post
aggregategroups	-	action	Translate		write post
aggregategroups	aggregategroup	action	Translate		type=string
aggregategroups	do	action	Translate	required	enum=add|associate|dissociate|remove|update
aggregategroups	group	action	Translate	deprecated	type=string
aggregategroups	groupdescription	action	Translate		type=string
aggregategroups	groupname	action	Translate		type=string
aggregategroups	groups	action	Translate	multi	type=string limit=50 highlimit=500
aggregategroups	groupsourcelanguagecode	action	Translate		type=string default=und
aggregategroups	token	action	Translate	required,sensitive	type=string
antispoof	-	action	AntiSpoof		
antispoof	username	action	AntiSpoof	required	type=string
block	-	action	MediaWiki		write post
block	actionrestrictions	action	MediaWiki	multi	enum=create|move|thanks|upload limit=50 highlimit=500
block	allowusertalk	action	MediaWiki		type=boolean
block	anononly	action	MediaWiki		type=boolean
block	autoblock	action	MediaWiki		type=boolean
block	expiry	action	MediaWiki		type=string default=never
block	hidename	action	MediaWiki		type=boolean
block	id	action	MediaWiki		type=integer
block	namespacerestrictions	action	MediaWiki	multi	type=namespace limit=50 highlimit=500
block	newblock	action	MediaWiki		type=boolean
block	nocreate	action	MediaWiki		type=boolean
block	noemail	action	MediaWiki		type=boolean
block	pagerestrictions	action	MediaWiki	multi	type=title limit=50 highlimit=50
block	partial	action	MediaWiki		type=boolean
block	reason	action	MediaWiki		type=string
block	reblock	action	MediaWiki		type=boolean
block	tags	action	MediaWiki	multi	enum=AFCH|AI-generated source|AWB|Addition of protection template to non-protected page|AntiVandal script|CVPI|CW-English-Converter|Deputy|HotCat|JWB|New user adding protection template|Newcomer task|OneClickArchiver|ProveIt edit|RedWarn|RfC|Ultraviolet|WPCleaner|WikiLoop Battlefield|WikiShield script|XFDC|bot trial|changing time or duration|convenient-discussions|editProtectedHelper|excessive whitespace|fixed lint errors|huggle|invalid-timedtext-edit|large non-free file|massmove|moveToDraft|new user move into mainspace|new user moving page out of userspace|ooze|pageswap|possible birth or death date change|possible formatting issues|pronoun-change|rapid date format changes|self-published source|self-published-blog|shortdesc helper|talk banner shell conversion|twinkle limit=50 highlimit=500
block	token	action	MediaWiki	required,sensitive	type=string
block	user	action	MediaWiki		type=user
block	userid	action	MediaWiki	deprecated	type=integer
block	watchlistexpiry	action	MediaWiki		type=expiry
block	watchuser	action	MediaWiki		type=boolean
bouncehandler	-	action	BounceHandler	internal	write post
bouncehandler	email	action	BounceHandler	required	type=string
categorytree	-	action	CategoryTree	internal	
categorytree	category	action	CategoryTree	required	type=string
categorytree	options	action	CategoryTree		type=string
centralauthtoken	-	action	CentralAuth		
centralnoticecdncacheupdatebanner	-	action	CentralNotice		write post
centralnoticecdncacheupdatebanner	banner	action	CentralNotice	required	type=string
centralnoticecdncacheupdatebanner	language	action	CentralNotice	required	type=string
centralnoticecdncacheupdatebanner	token	action	CentralNotice	required,sensitive	type=string
centralnoticechoicedata	-	action	CentralNotice		
centralnoticechoicedata	language	action	CentralNotice	required	type=string
centralnoticechoicedata	project	action	CentralNotice	required	type=string
centralnoticequerycampaign	-	action	CentralNotice		
centralnoticequerycampaign	campaign	action	CentralNotice	required	type=string
changeauthenticationdata	-	action	MediaWiki		prefix=changeauth write post
changeauthenticationdata	changeauthrequest	action	MediaWiki	required	type=string
changeauthenticationdata	changeauthtoken	action	MediaWiki	required,sensitive	type=string
changecontentmodel	-	action	MediaWiki		write post
changecontentmodel	bot	action	MediaWiki		type=boolean
changecontentmodel	model	action	MediaWiki	required	enum=GadgetDefinition|JsonSchema|MassMessageListContent|Scribunto|SecurePoll|css|javascript|json|sanitized-css|text|vue|wikitext|worklist
changecontentmodel	pageid	action	MediaWiki		type=integer
changecontentmodel	summary	action	MediaWiki		type=string
changecontentmodel	tags	action	MediaWiki	multi	enum=AFCH|AI-generated source|AWB|Addition of protection template to non-protected page|AntiVandal script|CVPI|CW-English-Converter|Deputy|HotCat|JWB|New user adding protection template|Newcomer task|OneClickArchiver|ProveIt edit|RedWarn|RfC|Ultraviolet|WPCleaner|WikiLoop Battlefield|WikiShield script|XFDC|bot trial|changing time or duration|convenient-discussions|editProtectedHelper|excessive whitespace|fixed lint errors|huggle|invalid-timedtext-edit|large non-free file|massmove|moveToDraft|new user move into mainspace|new user moving page out of userspace|ooze|pageswap|possible birth or death date change|possible formatting issues|pronoun-change|rapid date format changes|self-published source|self-published-blog|shortdesc helper|talk banner shell conversion|twinkle limit=50 highlimit=500
changecontentmodel	title	action	MediaWiki		type=string
changecontentmodel	token	action	MediaWiki	required,sensitive	type=string
chartinfo	-	action	Chart	internal	
chartinfo	global	action	Chart		type=boolean
checktoken	-	action	MediaWiki		
checktoken	maxtokenage	action	MediaWiki		type=integer
checktoken	token	action	MediaWiki	required,sensitive	type=string
checktoken	type	action	MediaWiki	required	enum=createaccount|csrf|deleteglobalaccount|login|patrol|rollback|setglobalaccountstatus|userrights|watch
cirrus-check-sanity	-	action	CirrusSearch	internal	
cirrus-check-sanity	cluster	action	CirrusSearch	required	enum=cloudelastic|codfw|eqiad
cirrus-check-sanity	from	action	CirrusSearch	required	type=integer
cirrus-check-sanity	limit	action	CirrusSearch		type=limit default=100
cirrus-check-sanity	rerenderfrequency	action	CirrusSearch		type=integer default=16
cirrus-check-sanity	sequenceid	action	CirrusSearch		type=integer
cirrus-config-dump	-	action	CirrusSearch	internal	
cirrus-config-dump	prop	action	CirrusSearch	multi	enum=expectedindices|globals|namespacemap|profiles|replicagroup|usertesting default=globals|namespacemap|profiles|replicagroup limit=50 highlimit=500
cirrus-profiles-dump	-	action	CirrusSearch	internal	
cirrus-profiles-dump	verbose	action	CirrusSearch		type=boolean
cirrus-schema-dump	-	action	CirrusSearch	internal	
cirrus-schema-dump	build	action	CirrusSearch		type=boolean
cirrus-schema-dump	plugins	action	CirrusSearch	multi	type=string limit=50 highlimit=500
clearhasmsg	-	action	MediaWiki		write post
clientlogin	-	action	MediaWiki		prefix=login write post
clientlogin	logincontinue	action	MediaWiki		type=boolean
clientlogin	loginmergerequestfields	action	MediaWiki		type=boolean
clientlogin	loginmessageformat	action	MediaWiki		enum=html|none|raw|wikitext default=wikitext
clientlogin	loginpreservestate	action	MediaWiki		type=boolean
clientlogin	loginreauthenticate	action	MediaWiki		type=string
clientlogin	loginrequests	action	MediaWiki	multi	type=string limit=50 highlimit=500
clientlogin	loginreturnurl	action	MediaWiki		type=string
clientlogin	logintoken	action	MediaWiki	required,sensitive	type=string
codemirror-validate	-	action	CodeMirror	internal	
codemirror-validate	content	action	CodeMirror	required	type=text
codemirror-validate	contentmodel	action	CodeMirror	required	enum=Scribunto|javascript|sanitized-css
codemirror-validate	title	action	CodeMirror	required	type=title
collection	-	action	Collection	internal	
collection	submodule	action	Collection	required	enum=addarticle|addcategory|addchapter|clearcollection|getbookcreatorboxcontent|getcollection|getpopupdata|postcollection|removearticle|removeitem|renamechapter|setsorting|settitles|sortitems|suggestarticleaction|suggestundoarticleaction
communityconfigurationedit	-	action	CommunityConfiguration		write post
communityconfigurationedit	content	action	CommunityConfiguration	required	type=string
